time_s,pos_x_m,pos_y_m,alt_z_m,vel_x_mps,vel_y_mps,vel_z_mps
0.0000,0.0000,0.0000,0.0000,0.0087,0.0000,0.0000
0.0100,0.0004,0.0000,0.0036,0.0730,0.0000,0.0000
0.0200,0.0015,0.0000,0.0123,0.1504,0.0000,0.0000
0.0300,0.0034,0.0000,0.0261,0.2351,0.0000,0.0000
0.0400,0.0062,0.0000,0.0451,0.3250,0.0000,0.0000
0.0500,0.0099,0.0000,0.0691,0.4191,0.0000,0.0000
0.0600,0.0146,0.0000,0.0983,0.5167,0.0000,0.0000
0.0700,0.0203,0.0000,0.1326,0.6174,0.0000,0.0000
0.0800,0.0270,0.0000,0.1720,0.7208,0.0000,0.0000
0.0900,0.0347,0.0000,0.2166,0.8266,0.0000,0.0000
0.1000,0.0435,0.0000,0.2662,0.9346,0.0000,0.0000
0.1100,0.0534,0.0000,0.3210,1.0447,0.0000,0.0000
0.1200,0.0644,0.0000,0.3808,1.1567,0.0000,0.0000
0.1300,0.0765,0.0000,0.4458,1.2704,0.0000,0.0000
0.1400,0.0898,0.0000,0.5159,1.3858,0.0000,0.0000
0.1500,0.1043,0.0000,0.5911,1.5028,0.0000,0.0000
0.1600,0.1199,0.0000,0.6714,1.6213,0.0000,0.0000
0.1700,0.1367,0.0000,0.7569,1.7411,0.0000,0.0000
0.1800,0.1547,0.0000,0.8474,1.8623,0.0000,0.0000
0.1900,0.1739,0.0000,0.9430,1.9848,0.0000,0.0000
0.2000,0.1944,0.0000,1.0438,2.1085,0.0000,0.0000
0.2100,0.2161,0.0000,1.1497,2.2334,0.0000,0.0000
0.2200,0.2391,0.0000,1.2607,2.3595,0.0000,0.0000
0.2300,0.2633,0.0000,1.3767,2.4866,0.0000,0.0000
0.2400,0.2888,0.0000,1.4979,2.6147,0.0000,0.0000
0.2500,0.3156,0.0000,1.6242,2.7439,0.0000,0.0000
0.2600,0.3437,0.0000,1.7557,2.8741,0.0000,0.0000
0.2700,0.3731,0.0000,1.8922,3.0052,0.0000,0.0000
0.2800,0.4038,0.0000,2.0338,3.1372,0.0000,0.0000
0.2900,0.4358,0.0000,2.1806,3.2701,0.0000,0.0000
0.3000,0.4692,0.0000,2.3324,3.4039,0.0000,0.0000
0.3100,0.5039,0.0000,2.4894,3.5385,0.0000,0.0000
0.3200,0.5400,0.0000,2.6514,3.6739,0.0000,0.0000
0.3300,0.5774,0.0000,2.8186,3.8102,0.0000,0.0000
0.3400,0.6162,0.0000,2.9909,3.9472,0.0000,0.0000
0.3500,0.6563,0.0000,3.1682,4.0849,0.0000,0.0000
0.3600,0.6979,0.0000,3.3507,4.2234,0.0000,0.0000
0.3700,0.7408,0.0000,3.5383,4.3626,0.0000,0.0000
0.3800,0.7851,0.0000,3.7310,4.5025,0.0000,0.0000
0.3900,0.8309,0.0000,3.9288,4.6431,0.0000,0.0000
0.4000,0.8780,0.0000,4.1316,4.7843,0.0000,0.0000
0.4100,0.9266,0.0000,4.3396,4.9262,0.0000,0.0000
